Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;204;207
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;216;219
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;229;232
[CODE-MAX]_18;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;242;245
[CODE-MAX]_19;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;548;552
[CODE-MAX]_19;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;556;560
[CODE-MAX]_19;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;576;580
[CODE-MAX]_19;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;582;586
[CODE-MAX]_19;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;588;592
[CODE-MAX]_19;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;594;597
[CODE-MAX]_20;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;528;534
[CODE-MAX]_20;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;534;540
[CODE-MAX]_20;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;537;543
[CODE-MAX]_20;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;543;549
[CODE-MAX]_21;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;210;223
[CODE-MAX]_21;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;504;517
[CODE-MAX]_22;76;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;216;228
[CODE-MAX]_22;76;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/sed/ServerTMS.cpp;229;241
[CODE-MAX]_23;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;256;261
[CODE-MAX]_23;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;162;169
[CODE-MAX]_23;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/TorqueServer.cpp;538;543
[CODE-MAX]_24;13;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;528;537
[CODE-MAX]_24;13;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/LLServer.cpp;540;549
[CODE-MAX]_25;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;78;85
[CODE-MAX]_25;38;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;181;189
