Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_33;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;547;551
[CODE-MAX]_33;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;795;799
[CODE-MAX]_33;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;830;834
[CODE-MAX]_34;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;201;206
[CODE-MAX]_34;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;333;338
[CODE-MAX]_34;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;696;701
[CODE-MAX]_35;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;405;413
[CODE-MAX]_35;37;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;429;436
[CODE-MAX]_36;36;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;266;273
[CODE-MAX]_36;36;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;284;291
[CODE-MAX]_37;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.cpp;28;30
[CODE-MAX]_37;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.cpp;30;32
[CODE-MAX]_37;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/DbConfiguration.cpp;32;34
[CODE-MAX]_37;5;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/FileParser.cpp;85;87
[CODE-MAX]_38;21;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;196;201
[CODE-MAX]_38;21;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;304;309
[CODE-MAX]_39;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilServer.cpp;145;150
[CODE-MAX]_39;26;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilServer.cpp;155;160
[CODE-MAX]_40;23;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;795;800
[CODE-MAX]_40;23;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;830;835
[CODE-MAX]_41;28;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;331;336
[CODE-MAX]_41;28;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/UMSMapper.cpp;547;552
[CODE-MAX]_42;34;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;272;277
[CODE-MAX]_42;34;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/registry/TMSMapper.cpp;367;372
[CODE-MAX]_43;24;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;429;433
[CODE-MAX]_43;24;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;453;457
[CODE-MAX]_44;17;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/SSHFile.cpp;464;468
[CODE-MAX]_44;17;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/SSHFile.cpp;470;474
[CODE-MAX]_45;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/database/POSTGREDatabase.cpp;59;61
[CODE-MAX]_45;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilClient.cpp;38;40
[CODE-MAX]_45;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilClient.cpp;40;42
[CODE-MAX]_46;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;203;205
[CODE-MAX]_46;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;210;212
[CODE-MAX]_46;12;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/utils/utilVishnu.cpp;216;218
[CODE-MAX]_47;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/database/MYSQLDatabase.cpp;177;180
[CODE-MAX]_47;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/database/POSTGREDatabase.cpp;222;225
[CODE-MAX]_48;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/database/DatabaseResult.cpp;41;44
[CODE-MAX]_48;20;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/database/DatabaseResult.cpp;62;65
[CODE-MAX]_49;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/ExecConfiguration.cpp;49;51
[CODE-MAX]_49;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/ExecConfiguration.hpp;87;89
[CODE-MAX]_50;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/constants.cpp;17;18
[CODE-MAX]_50;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/core/src/config/constants.cpp;19;20
